date,weather_code,temperature_2m_max,wind_speed_10m_max,wind_direction_10m_dominant
2023-04-17 00:00:00+00:00,61.0,18.941,25.992397,241.78665
2023-04-18 00:00:00+00:00,3.0,13.941,29.09103,261.61945
2023-04-19 00:00:00+00:00,3.0,17.341,28.551426,281.79605
2023-04-20 00:00:00+00:00,3.0,23.091,10.00256,64.56074
2023-04-21 00:00:00+00:00,3.0,25.991,17.643673,104.24839
2023-04-22 00:00:00+00:00,61.0,24.241,27.897097,124.78115
2023-04-23 00:00:00+00:00,63.0,17.791,21.611998,283.1092
2023-04-24 00:00:00+00:00,3.0,12.990999,17.287498,292.03802
2023-04-25 00:00:00+00:00,3.0,13.891,13.797913,301.86145
2023-04-26 00:00:00+00:00,53.0,16.691,20.808498,117.64603
2023-04-27 00:00:00+00:00,51.0,16.941,14.982228,102.747406
2023-04-28 00:00:00+00:00,55.0,11.641,22.608458,85.88829
2023-04-29 00:00:00+00:00,63.0,12.691,25.671307,80.170395
2023-04-30 00:00:00+00:00,63.0,13.490999,22.725668,75.277855
2023-05-01 00:00:00+00:00,63.0,14.591,29.168886,257.4868
2023-05-02 00:00:00+00:00,61.0,11.290999,23.188583,242.7346
2023-05-03 00:00:00+00:00,61.0,10.841,13.608762,265.41617
2023-05-04 00:00:00+00:00,51.0,14.391,14.20062,329.0363
2023-05-05 00:00:00+00:00,51.0,16.991,9.83268,345.881
2023-05-06 00:00:00+00:00,3.0,20.091,10.948973,326.0657
2023-05-07 00:00:00+00:00,3.0,23.291,13.049689,268.64325
2023-05-08 00:00:00+00:00,51.0,23.291,15.580141,309.51694
2023-05-09 00:00:00+00:00,3.0,21.441,19.008545,8.804897
2023-05-10 00:00:00+00:00,2.0,21.491,14.689589,349.94882
2023-05-11 00:00:00+00:00,3.0,25.491,12.849528,280.57343
2023-05-12 00:00:00+00:00,3.0,29.191,15.629971,281.35455
2023-05-13 00:00:00+00:00,3.0,25.441,12.88981,283.80862
2023-05-14 00:00:00+00:00,3.0,21.791,19.008547,347.29153
2023-05-15 00:00:00+00:00,3.0,24.241,15.856356,306.1912
2023-05-16 00:00:00+00:00,3.0,26.841,24.014996,259.48102
2023-05-17 00:00:00+00:00,3.0,22.941,21.120682,327.9228
2023-05-18 00:00:00+00:00,1.0,20.140999,13.527572,57.030563
2023-05-19 00:00:00+00:00,51.0,22.491,18.448023,164.40126
2023-05-20 00:00:00+00:00,51.0,21.640999,14.8257065,129.12143
2023-05-21 00:00:00+00:00,51.0,25.591,25.455843,315.66803
2023-05-22 00:00:00+00:00,3.0,25.941,11.4862,19.392155
2023-05-23 00:00:00+00:00,3.0,25.640999,18.79255,114.17701
2023-05-24 00:00:00+00:00,51.0,27.591,23.795427,289.06454
2023-05-25 00:00:00+00:00,51.0,21.390999,18.94024,11.272862
2023-05-26 00:00:00+00:00,3.0,23.691,13.392774,25.53621
2023-05-27 00:00:00+00:00,3.0,27.191,8.0899935,52.360985
2023-05-28 00:00:00+00:00,3.0,28.640999,18.25026,201.8015
2023-05-29 00:00:00+00:00,3.0,30.041,25.071096,96.23087
2023-05-30 00:00:00+00:00,0.0,26.341,15.94601,93.7872
2023-05-31 00:00:00+00:00,0.0,29.041,12.768586,109.44012
2023-06-01 00:00:00+00:00,0.0,33.241,10.00256,86.15189
2023-06-02 00:00:00+00:00,2.0,35.041,20.60823,11.225817
2023-06-03 00:00:00+00:00,61.0,25.140999,18.25026,64.73337
2023-06-04 00:00:00+00:00,3.0,25.890999,20.674156,21.61915
2023-06-05 00:00:00+00:00,3.0,25.941,22.427162,348.4636
2023-06-06 00:00:00+00:00,51.0,27.140999,29.460672,304.7988
2023-06-07 00:00:00+00:00,2.0,24.591,19.134262,312.71942
2023-06-08 00:00:00+00:00,3.0,22.291,19.228851,317.10223
2023-06-09 00:00:00+00:00,51.0,23.191,18.057508,303.48734
2023-06-10 00:00:00+00:00,51.0,27.341,16.92383,296.46024
2023-06-11 00:00:00+00:00,3.0,31.091,15.986595,185.1064
2023-06-12 00:00:00+00:00,65.0,27.941,23.710857,162.77585
2023-06-13 00:00:00+00:00,65.0,24.140999,18.671474,277.2763
2023-06-14 00:00:00+00:00,61.0,21.041,32.44996,217.80772
2023-06-15 00:00:00+00:00,3.0,24.841,18.1041,291.6329
2023-06-16 00:00:00+00:00,63.0,23.741,13.556282,303.3885
2023-06-17 00:00:00+00:00,51.0,24.341,22.771244,319.8441
2023-06-18 00:00:00+00:00,3.0,25.291,16.992609,305.04193
2023-06-19 00:00:00+00:00,3.0,29.341,25.620771,42.614044
2023-06-20 00:00:00+00:00,3.0,26.291,16.29174,98.18498
2023-06-21 00:00:00+00:00,3.0,25.390999,21.924562,80.75675
2023-06-22 00:00:00+00:00,55.0,22.890999,19.652176,74.62513
2023-06-23 00:00:00+00:00,63.0,23.241,14.759999,97.96166
2023-06-24 00:00:00+00:00,61.0,27.390999,10.315115,197.69096
2023-06-25 00:00:00+00:00,63.0,29.091,16.311613,254.39333
2023-06-26 00:00:00+00:00,65.0,23.791,12.4811535,119.27517
2023-06-27 00:00:00+00:00,63.0,27.191,15.077082,143.60132
2023-06-28 00:00:00+00:00,51.0,26.341,16.434305,283.82108
2023-06-29 00:00:00+00:00,51.0,27.591,11.592894,291.82874
2023-06-30 00:00:00+00:00,3.0,29.241,7.771331,196.01123
2023-07-01 00:00:00+00:00,51.0,28.991,16.215992,185.08438
2023-07-02 00:00:00+00:00,63.0,28.991,14.24163,198.36368
2023-07-03 00:00:00+00:00,61.0,30.140999,17.414476,247.36183
2023-07-04 00:00:00+00:00,55.0,29.591,12.6462,267.67368
2023-07-05 00:00:00+00:00,1.0,31.640999,5.6920996,24.56717
2023-07-06 00:00:00+00:00,53.0,31.541,18.720001,178.61967
2023-07-07 00:00:00+00:00,63.0,30.491,13.783817,167.82286
2023-07-08 00:00:00+00:00,53.0,30.341,9.387651,40.10089
2023-07-09 00:00:00+00:00,65.0,25.140999,13.044722,133.66785
2023-07-10 00:00:00+00:00,63.0,28.191,16.1198,326.14697
2023-07-11 00:00:00+00:00,2.0,29.741,10.30883,273.31964
2023-07-12 00:00:00+00:00,3.0,30.890999,12.43434,262.0351
2023-07-13 00:00:00+00:00,51.0,33.091,22.493519,205.23624
2023-07-14 00:00:00+00:00,53.0,32.190998,14.145756,190.6196
2023-07-15 00:00:00+00:00,53.0,31.640999,17.76081,164.60751
2023-07-16 00:00:00+00:00,61.0,28.890999,14.76439,186.48975
2023-07-17 00:00:00+00:00,3.0,30.541,14.561099,257.7537
2023-07-18 00:00:00+00:00,51.0,29.640999,15.646544,245.76544
